Review_Time,Review_Text,rating
2 minggu lalu,Kalau ojol suruh copot mantol pas hujan.. Dikasih tempat lah buat naruh mantolnya... Jgn hanya memikirkan resto mu saja.. Klian juga butuh ojol utk delivery.. Saling menghormati dan menghargai.. Ojol kalau disuruh buka copot mantol yo klebus....,1
2 minggu lalu,"PELAYANAN SANGAT BURUK ! MEMPERLAKUKAN DRIVER ONLINE DG TIDAK LAYAK. TEMPAT TUNGGU TIDAK ADA DAN SANGAT TERBATAS, BANYAK YG BERDIRI BER JAM JAM. BELUM LAGI SAAT HUJAN. KALIAN TIDAK PANTAS MENJALANKAN BISNIS KARENA TIDAK MENGEDEPANKAN PRINSIP MANUSIAWI DAN TIDAK MENGHARGAI KONSUMEN",1
seminggu lalu,"Mie Gacoan Pokok Nya Mantab Jiwa ,Suasana Tempat Enak, Harga Bersahabat Dikantong tentunya 😉,Memang Harus Sabar Ya ,Tapi Dijamin Yg suka Makan Mie pedas Saya Sarankan Langsung Guys Cuzzzz Di Mie Gacoan Colombo.",5
2 minggu lalu,"Enak si cuma sayangnya gabisa buat lebih dari 3 orang satu meja
Sayangnya lagi pelayananya sedikit mengecewakan bagaimana bisa mas mas bisa duduk satu meja 6 orang tapi kita berempat gabisa;(( katanya kesalaha  dari bawah …",5
2 minggu lalu,"Selainn makanannya yang murah tapi enakk dan pelayanan nya yang oke , saya minta saus tambahan dan sumpit langsung di ambil kan sama mb"" nya  . Resto nya sangat bersihh . Di gacoan Uny ini toilet nya sangat bersih dan tidak berbau jadi bikin nyaman pelanggan yang ingin ke toilet",5
seminggu lalu,"Tempatnya adem rasa pas di lidah,  kalau aku level 1 aja udah cukup pedas. Sering makan bersama teman - teman kampus dan selama ppkm duduknya dibatasi  maksimal 3 orang per meja. Pelayanan sangat memuaskan.",5
4 bulan lalu,"Salah satu otlet Mie Gacoan yang lokasinya paling strategis di Yogyakarta, berada ditengah-tengah kampus besar UNY, UGM dan Sanata Darma yaitu di jalan Colombo. Awal kemunculan masih komplit menu makanan tambahan dan minumannya, tapi sekarang di outle ini sudah banyak yang berkurang menunya. Dikomplitin lagi dong.....",4
5 bulan lalu,"Tempat oke, seperti biasa kalau gacoan emang harus sabar soalnya antri

Makanan dateng diawal minum dateng terakhir 😂 tapi emang cocok buat jajan anak anak milenial sih",4
2 minggu lalu,Pelayanan sangat lama parah..lebih ditingkatkan lagi penyajiannya..biar tidak lama menunggu..orang yg udah laper keburu kembung gara2 makan angin mulu😪,1
5 bulan lalu,"Favorit hampir semua orang. Cita rasa yang disukai para millenial. Rasa enak, porsi pas, cita rasa pedas, dan tempat yang luas membuat tidak bosan untuk dikunjungi kembali.",5
2 minggu lalu,Kasir ojol mbok dipisah..sm pembeli biasa biar anrruan tdk mengular..kasian ojol kyak saya antrian 1 jam demi 8 rupiah,1
2 minggu lalu,Restoran macam apa ini kasir ngga ada sopan santun tempat kotor lama lagi pelayanannya rasanya b aja maaf kasih bintang 1 itu emang fakta,1
2 minggu lalu,"Mie.nya selalu enak 🤤🤤, tempatnya enak juga buat nongkrong, apalagi lantai 2, bisa sambil menikmati suasana jalan raya. Mantab pokoknya",5
7 bulan lalu,"Tempatnya mudah dijangkau, ada parkiran motor, kalau mobil ga ngeh sih hehe
Antriannyaaa, musti kudu sabar, untungnya deket masjid, jadi kalau pas kesana antriannya panjang bisa sholat* dulu (kalau pas jam sholat ya hehe) …",5
seminggu lalu,"Semua menu mantab jiwa, gausah di ragukan lagi . enak bgt. Walaupun antrian nya kadang banyak tapi puas",5
2 minggu lalu,mie gacoan enak bgt.... Murah dan pedesnya nampol... Cocok bgt pokoknya buat yg suka pedes,5
10 bulan lalu,"Cozy place! Menu nya lengkap, murah, dan enak. Pokoknya recommended banget buat nongkrong bareng temen-temen. Bisa order via grabfood/gofood juga. Pokoknya best banget deh! Kekurangannya cuma seringkali pas baru dateng/masuk diliatin sama …",5
seminggu lalu,Yg belum pernah coba gacoan kalian wajib bgt cobain dehh.. mie pedes favorit pokoknya,5
2 minggu lalu,"Terdapat lantai 2, cocok kalo pengen liat pemandangan  awan biru mantep dah..",5
seminggu lalu,"Tempatnya enak buat nongkrong bareng keluarga, pacar, sabahat, ataupun sama yang lain,, pelayanannya cepat, terus crewnya pun juga ramah2, letaknya pun strategis",5
seminggu lalu,"Suka banget sama mie iblis dan es pocongnya seger jg ..

Karyawannya ramah² jg 🤗🤗",5
2 bulan lalu,Jangan buat kerumunan!!! Kalau sudah penuh tutup aplikasi nya... Nanti kalau sudah lengang dibuka lagi,1
2 minggu lalu,"Mie nya dingin,dan rasanya gk enak...........cara masaknya jg jorok",1
2 minggu lalu,"Dim Sum Udang Keju enak banget 👍🏻

Mienya oke, Mie Iblis Level 2 lah minimal yang agak nonjok. Potongan ayamnya …",5
2 minggu lalu,"Para pecinta pedass cocok nih nongki disini, Mie Gacoan bikin nyaman.  .",5
7 bulan lalu,"Food quality : baik
Food taste : enak
Service : pelayanan staff depan kurang menurut saya. Karena saya memdapatkan …",2
setahun lalu,"Mie enak pedes dan harga murah, tetapi tidak ada minuman setan seperti genderuwo, pocong, dll. Hanya ada minuman biasa …",4
11 bulan lalu,"Pengen makan mie? Mie Gacoan aja 🤩
Tempatnya nyaman guys, nunggu makanan juga ngga lama, serius cepet 😎 sekarang Mie Gacoan juga banyak cabang nya guys! Oh iya guys, jangan lupa tetap patuhi …",5
2 bulan lalu,"Hem udah tiga kali sebenernya kesini..
Dan ternyata yang ke-4 kali ini cukup mengecewakan.. Pelayanannya kurang ramah dan membuat ga mood makan.. …",1
3 bulan lalu,"nice place, nice food. rame banget yang order via ojol, tapi proses pemesannya cepet. rasa mie nya juga enak, termasuk side dish nya.",5
sebulan lalu,"SANGAT KECEWA dengan pelayanannya. Hanya gara gara cari tempat duluan sebelum transaksi di usir paksa padahal teman saya sudah antri pesan. Tolong jika prosedur harus transaksi dulu di kasih tulisan biar kita tahu, jadi bisa pindah tempat lain ga buang"" wajtu antri.Kalo kaya gini udah lama nunggu, laper ,ujung""nya ga ada kepastian",1
3 bulan lalu,enak pastinya!!!! harga terjangkau dgn pilihan menu makanan/minuman banya. pelayanan bersih dan ramah,5
seminggu lalu,"mienya mantap, rasa jangan diragukan lagi pelayanan ramah dan mantap.. 🙏🙏",5
2 minggu lalu,"manajemen orderan buruk, terutama buat pesanan via jasa online. tempat parkir tidak memadai, tapi saat orderan penuh masih berani terima orderan, sungguh tidak punya etika bisnis",1
4 minggu lalu,Sangat beda dari gacoan lain..karena tidak ada tempat tunggu yang memadai...gila..kursi cuma 20...orderan masuk kisaran 60order..gila gak...kita suruh berdiri sampai selesai?hebat sekali sih gacoan Colombo ini,1
8 bulan lalu,"Tempat nya enak, silir gesss. Enak buat nongkrong wifinya juga lumayan kenceng",5
sebulan lalu,"Selalu order lewat ojol dari sini karena pusing tiap liat antriannya rame banget wkwkwk. Mienya enakkk. Lebih suka yang mie tanpa kecap, level 3 pedesnya udah nampol buat aku. Side dishnya selalu pesen udang keju atau udang rambutan. Lumpia …",5
6 bulan lalu,"mie nya nagih bangett, nugget nya juga enak, rambutan nya enak, pangsit juga enak dan dalemnya ada bakso nya, cuma harus sabar untuk mengantri",5
4 bulan lalu,"Rasa lumayan lah, soalnya kemarin pesan yg mie iblis level 2 kirain pedas ternyata lebih pedas mie setan level 1, dari namanya aja kan lebih ngeri yg iblis yaa",3
setahun lalu,"Mie gacoan Colombo, lokasi strategis bangrt ada di pinggir jalan, samping preksu deket sama kampus UNY. Untuk tempatnya oke, nyaman, dan juga bersih, kalo makan ditempat lebih sering duduk di lantai duanya tenpatnya enak soalnya . Rasanya …",5
9 bulan lalu,"Instagramable, nyaman, ditengah kota dan dekat dengan kampus besar di Jogja.
Tetapi setelah 2x kesini,menang ada salah satu waiters yang sangat ramah. Tetapi saat pelayanan ketika pesan udang rambutan dan keju tidak dikasih sumpit. Saran …",4
10 bulan lalu,"Tempat nyaman, rasa enak. Tp sayang, ngantri di kasirnya lama. Sebab campur sm driver gojek yg go food. Kl mi gacoan di Tamsis di pisah sm go food. Trus pangsit gorengnya banyak minyaknyaaaa👎",4
seminggu lalu,"the best sii, nagihhh, enak poll pokoknyaa",5
2 minggu lalu,"Tempat yang cocok untuk bersantai sii, kalo buat makan sama temen temen juga sabii",5
9 bulan lalu,"Kesini buat take away. Karna harganya lebih murah kalau beli langsung daripada beli lewat ojek online, kecuali ada promo sendiri dari si ojek onlinenya. Hehe... Pilihan menu mie dengan level levelan. Paling tinggi level 8 dan ini sangat pedas. Saya hanya berani memesan level 4. Ada juga menu snack lainnya. Rasanya lumayan enak.",4
6 bulan lalu,"Saya suka sekali kesini gatau kenapa nagih banget! Recommended banget si buat udang rambutan sama udang kejunya, apalagi mas2 nya yg kmrn jg bikin betah wkwk. Tempatnya jg Instagram able bgd, sayang kurang luas tempatnya jadi kemaren sampe harus nungguin dulu & pindah2 tempat dari Tamansiswa, Colombo penuh semua akhirnya di Kotabaru.",5
sebulan lalu,"Rasanya enak, harga murah dan sering banyak promo juga di grabfood...tapi sayang nunggu nya lama bangettt bisa sampe 2 jam an 🙏",5
9 bulan lalu,"Lokasi strategis, menu variatif, harga pelajar-mahasiswa, porsi pas & tempat nyaman. Recomended!!",5
6 hari lalu,"Lantai 2 bikin betah, mie gacoan emang cocok untuk melepas galau",5
sebulan lalu,Harus mengantri cukup lama untuk makan mie saja. Buat saya sendiri not recommended.. sama mie ayam lain rasa kalah jauh.. buat saya mienya kurang enak. Parkiran pun kurang nyaman.,2
seminggu lalu,Mie iblisnya the best polll👍🏻,5
sebulan lalu,Ayo perbaiki sistem pelayanan masa harus menunggu 60 menit menunggu untuk makan.. perbaiki sistem kasir dipisah antara layanan makan di tempat dan di bungkus/ojol.. dulu paling lama 25-30 menit..paling cepat 20 menit sudah selesai..,1
sebulan lalu,"managemen bobrok.
asal rame aja, kalo ngantri lebih dari 30mnt tuh, online matiin dulu. tolol.
selain merugikan driver, juga melanggar prokes, jangan asal laku ajah",1
seminggu lalu,"Terbaik lahh , pelayanan sangat ramah dan tempatnya nyaman ✨",5
sebulan lalu,"Rasanya khas bgt! Tempatnya yg diatas lumayan luas, dlu sempat makan area bawah tp yg sisi belakang~ kalo pas disini lebih pilih bungkus siii✌️",4
sebulan lalu,"Mie nya enak, toppingnya juga banyak, harga kantongable..
Tapi mie nya kalo dibungkus jadi agak keras gituu.. but ok",4
7 bulan lalu,"Recomendeddd. Benar-benar aku recomendedin.
Enakk aku sukaaaaa, lebih suka yang mie setan.
Minumannya enak-enak apalagi yang genderuwo. …",5
8 bulan lalu,"Terimakasih atas pelayanannya yang baik, semoga bisa dipertahankan dan ditingkatkan 🌟
Mie di sini enak, harganya murah, porsinya pas dan mengenyangkan. Tempatnya juga …",5
2 bulan lalu,Beli mie iblis level 1/2 atau cabe 1 aja alhmdlillah pas banget enak soalnya gak suka pedes tp kl level 0 nti gak ada pedes2nya suka sekali goodjobb gacoan,5
setahun lalu,"Mie nya enak , apalagi dim sum nya bikin nagih
Bersih tempatnya
Toilet ada
Murah meriaahhhhh 💯",5
seminggu lalu,Mie setan is goood👍,5
sebulan lalu,"Tolong untuk pihak gacoan, rapikanlah tempat parkirnya, jangan sampai menutupi bagian jalan sehingga kendaraan terutama mobil susah lewat, sampai harus menunggu petugas parkir memindahkan motor yang mengahalangi bagian jalan, SANGAT MENGGANGGU !!!",1
sebulan lalu,"Sayang bgt disini gaada menu yg minuman buah buah gitu, kaya yg es gendruwo es sundel bolong pdhl itu enak bgt aseli",5
11 bulan lalu,"Mi kekinian, dengan level pedas yang berbeda beda. Banyak digandrungi oleh dedek dedek mahasiswi. Terdapat juga pangsit isi ayam , siomay, udang keju. Dan  tempat yang cocok buat foto2 ala anak kekinian. Dan kalian juga bisa bertemu dengan babang2 gojek atau garb. Lebih baik kesini naik motor, karena parkir mobil hanya tersedia sedikit.",4
2 bulan lalu,"Tolong dong diperbaiki lagi manajemennya,dulu se rame"" nunggu cuma 20 sampai 25 menit.sekarang bisa 1 jam,terima kasih",2
2 bulan lalu,"tgl 9/9/21 hari kamis pukul 10.00++

tolong buat mba yang pake seragam sma yang saya liatin terus kontak saya dong:(( …",5
sebulan lalu,Tolong tingkatkan pelayanan dan sistem antrian terutama kepada para ojol. Masak sampe menunggu lebih dari 1 jam..,1
3 bulan lalu,"Karyawannya kurang fokus, ga ramah, dan kurang gercep

Pelanggan non ojol mungkin bisalah dikasih kertas juga kayak ojol biar klo mau …",2
sebulan lalu,"Tempat nya oke, bisa buat tempat ngisi perut dulu sebelum berangkat meliput di sekitaran lapangan uny",5
9 bulan lalu,"Rasa mienya mainly gurih pedas tapi tidak ada bumbu yg menonjol, sejauh ini yg disuka dari gacoan adalah dimsumnya. Favorite tetap udang kejunya.",4
5 bulan lalu,"Mie favorit anak perempuanku,mau makan dtempat atau pun dbawa plg rasa tetep sama,pangsit gorengnya enak,ngangenin",5
sebulan lalu,"Rame banget disini, stafnya juga kurang ramah, bs ditingkatkan lagi pelayananya agar tdk terlalu lama juga",4
7 bulan lalu,"Tempatnya selalu penuh, banyak gojek dan grabfood, kalo dateng harus nunggu orang lain pergi dulu biar dapet meja. Kalo makanannya gausah ditanya lagi, dari mi iblis, mie setan, rasanya selalu membekas dan selalu ingin dan ingin lagi. Belum …",4
2 minggu lalu,"Tingkatkan kualitas dan jaga kepercayaan customer, semangat 🔥",5
3 minggu lalu,"Mantap, enak, ramai pengunjung, pernah nongki sama temen temen disini. Overall good lah",4
7 bulan lalu,Kebetulan pas kesini antriannya dikit. Dan rasanya nampol banget yg level 3🤣 kalo ga habis kumat asam lambungnya bakalan diabisin. Plisss buka di Jakarta,5
seminggu lalu,Pelayanan memuaskan dan soal rasa memang tiada dua nya,5
sebulan lalu,Pelayanan ramah walau agak lama. Karena emang pembeli banyak. Area parkir kurang memadai untuk kendaraan pelanggan.,5
seminggu lalu,"Mie Gacoan, tempat nyaman, hargaaa jugaa murah",5
10 bulan lalu,Benar2 baru pertama kali makan mie gacoan dan somay juga udang keju nya. Tp langsung jatuh cinta sm rasanya. Benar2 pertama kali saya mencoba beranikan makan di gacoan ya januari  thn 2021 ini. Krn tempatnya selalu ramai dan antri. Saya …,5
2 minggu lalu,"Mantabss,, gacoan ga pernah salah sihh,, harga, menu, dan tempatnya keren parahh",5
2 bulan lalu,"Pelayanan cepat, harga untuk seporsi sangat murah",5
setahun lalu,"Ini Mie Gacoan yang di Jl. Colombo ya. Sebrang UNY persis, deket indomaret point di Jl. Samirono. Saya beli mie level pedas, udang keju dan vanilla latte. Kenapa saya rate 4 bintang? Itu karena menunya kurang lengkap di sini. Kalau mau …",4
sebulan lalu,Harus ekstra sabar untuk menu pesanan datang karena selalu ramai apa lagi di jam makan siang antrian panjang sekali,4
sebulan lalu,"Antrian online na lama,harus na flexibel,klo memang antri bnyak matiin dong aplikasi na",1
7 bulan lalu,"Ramenya masyaAllah...
Makanam enak, harga standar
Varian menu banyak
Terbaik lah",5
5 bulan lalu,Murah.. enak..,5
11 bulan lalu,"benar2 gacianku jagoanku,mienya level 8 bskuras perut, mantap. harga murah, rasa mantap, pelayanan ramah, cepqt penyajiannya. tapi parkiran buat mobil tak ada.",5
3 bulan lalu,"resto selalu ramai, kalau beli disini take away selalu order via pickup gojek harga lebih murah dan pesanan di dahulukan jadi tidak antri terlalu lama",5
setahun lalu,Mie Setan level 8 emang terbaik. Tempatnya luas dan social distancing. Murah meriah mantul. Pilihan dimsumnya juga bervariasi. Rame sih sampe mikir ini kasirnya ga mau nambah tah?,5
3 bulan lalu,"Bad, pelayanannya buruk bgt, karyawannya saat bersihkan meja lebih banyak ngobrol sama temen nya dari pada beresin meja, setelah piring kotor di ambil meja ga di lap pin,",1
10 bulan lalu,"Gacoan ter the best, cocok bgt buat makanan mahasiswa yang maunya murah dan bikin kenyang. Siomay nya enaak, dimsum kejunya lumer. Saya paling suka varian mie iblis (manis). …",4
2 bulan lalu,Bagi driver nunggu sejaman itu sdh lama.. super partner kok nunggu lama.. mbok yang masak ditambah apa gimana.,1
seminggu lalu,"tempatnya enak buat nongkrong, karyawanya juga ramah",5
setahun lalu,"Honest review. MIE GACOAN
Tempat nya oke, rame, banyak anak milenial nongkrong disini.
Rasanya, mie nya menurut saya kurang kenyal, masih kenyal indomie, bumbu juga …",4
sebulan lalu,SANGAT SANGAT TIDAK MENYENANGKAN SEKALI PELAYANANNYA!! GA LAGI MAKAN DISANA. TOLONG DIPERBAIKI LAGI PELAYANANNYA YAA!! YANG RAMAH!! KECEWA SEKALI!,1
11 bulan lalu,Mie merupakan salah satu jenis makanan yang digemari masyarakat Indonesia. Beragam olahan mie kerap disajikan sebagai menu utama makanan sehari-hari. Salah satu jenis mie yang saat ini digemari kawula muda adalah mie gacoan. …,4
setahun lalu,"Tempat makan enak di Jogja! Dengan menu andalan mie dan dimsum, dengan harga yang sangat mahasiswa, dan porsi besar, buat puas bagi para pengunjung, khususnya mahasiswa yang kesini. Tempatnya yang nyaman, dan cukup luas, serta …",4
setahun lalu,"Oke mie enak harganya murah banget cocok untuk kantong pelajar, tempat juga cozy banget",5
6 bulan lalu,Sama seperti cabang lain nya lama,5
10 bulan lalu,Enak dan harga pas untuk mahasiswa. Pakek shopeepay lumayan dpt cashback 10k 😌,5
2 tahun lalu,Makan mie pedas dengan lokasi warung yang semilir anginnya... Mie pedas yang sedang hits dan rame plus laris banget ini. Begitu datang langsung pesan dan bayar kemudian memilih tempat duduk nanti pesanan kita dihantarkan dengan cara …,5
5 bulan lalu,Mie gacoan di sini ngantri banget sampe harus waiting list dulu...,5
3 bulan lalu,Pelayanannnya bad bangeet !!!!! Rasanya enakk tapi pelayanan disini jelek banget.  Gaada ramah2nya . Udh gitu salah gaada minta maaf sama sekali . Sayang banget padahal tempat sama makanannya lumayan rekomen .,1
4 bulan lalu,"Memuaskan, harga affordable, rasa juga cocok untuk yang iblis (ini paling best menurut saya), untuk dimsum yang olahan udamg recommended sekali karena bersih tentunya (saya alergi udang kotor) jadi tau kalau udang disini bersih baik udang …",5
8 bulan lalu,"Super duper enak sihh, pangsit gorengnya apalagii, porsinya banyak, harga termasuk terjangkau",5
3 bulan lalu,Tempat makanan yang cocok untuk para anak muda yang kekinian. Sangat saya rekomendasikan untuk warga yang ingin makan mie yang enak dan pedas. Rasanya enak dan kondisi resto sangat nyaman. Tapi sayang jika boleh saya kritik dan saran tempat …,5
2 minggu lalu,Pesan lewat grab tetap yahuudd!! 😍,5
5 bulan lalu,Mie Gacoan ada franchise nya ? Rame terus euy.. lumayan mau daftar kalau semisal ada,5
9 bulan lalu,mie dimsum yg ga pernah lupaaaaa walaupun sering beli tapi gatau kenapaa tetep maunya makan mie iblis trs samaa dimsumnyaa hehhehee,5
setahun lalu,"Tempat makan kekinian 🔥
Recommended buat nongkrong.
Tempat luas, parkir jga memadai. Mantap pokoknya",5
setahun lalu,Yummm! Dari dulu sepenasaran itu sama mie gacoan tapi selalu rame yang membuat saya mengurungkan niat untuk sekadar take away. Tapi kemarin waktu jalan sama temen dan udah laper banget dan kebetulan pas dekat gacoan. Langsung deh mampir. …,5
setahun lalu,penasaran karena antriannya sampe mengular ke jalan. karena males ngantri akhirnya beli pake grabfood. enak ternyata. pangsit gorengnya juarak sih. semoga pelayanannya terus d perbaiki biar ngantrinya ga terlalu mengular. untung tinggal …,5
4 bulan lalu,"Favorit! Enak banget dan murah, paling enak udang keju sama lumpia udangnya. Varian mienya aku suka yg mie iblis karena kayanya dikasih kecap gitu. Sayangnya rame jadi antrinya mayan lama ><",5
9 bulan lalu,Mie setan lvl 6,4
sebulan lalu,"dulu pelayanan cepat, sekarang lambat 1 order bisa nunggu 1 jam disini",1
6 bulan lalu,Asyik kalau pertama of the day kalau belum ada pengunjung tempatnya ok kok,5
setahun lalu,"Tempat rekomended kalo mau makan mie. Tapi untuj tempatnya selalu rame, dan bikin panas banget.",5
setahun lalu,"Harganya sangat murah, bahkan lebih murah harganya daripada di gofood / grabfood tempatnya chill enak buat nongkrong. Toiletnya bersih. Pelayanannya cepat",4
setahun lalu,"tempat di pinggir jalan raya, mudah terlihat tepatnya di perempatan Uny jalan colombo sebelahan dengan indo point/Indomaret. masalah rasa menurut saya biasa saja, mie nya kering tanpa kuah, karena saya pecinta mie kuah jadi menurut saya …",4
3 bulan lalu,Pedesnya mantap la,5
2 bulan lalu,"Terimakasih pelayanan baik, karyawan nya baik",5
2 tahun lalu,"Terbaik, harga mahasiswa, sangat bersahabat. Mienya enak apalagi dimsum2annya. Recommended siomaynya sama udang keju, ceker juga enak. Minumannya seger, es genderuwo namanya walaupun takseseram namanya. Cocok buat hangout dan makan bareng temen atau pacar.",5
3 bulan lalu,"gw sm tmn gw ber3 beli mie setan level 1, malemnya sakit perut berjamaah:) knp y",1
5 bulan lalu,Enak banget!  Very very recommended!,5
sebulan lalu,Selalu rame kalo datang kesini. Paling suka sama mie iblis,4
2 tahun lalu,"Ratjun2 Adel mengenai makanan memang tidak perlu diragukan lagi. Seperti ketika ia dg sangat ber-api2 merekomendasikan mie gacoan ini. Benar saja, mie setan level 8nya endeuuus sis! Sebagai orang sunda yg gila akan rasa pedas, asli, level 8 …",5
2 bulan lalu,tempat dine in nya kurang memadai. sempit. tapi soal rasa gak pernah mengecewakan,4
3 minggu lalu,Parah.... Antrian 2 jam. Close aja ini warung.,1
5 bulan lalu,"Mie gacoan enak banget, dan murah hehe",5
2 tahun lalu,Yg suka pedes bisa dateng kesini.. Ada mie setan dgn rasa gurih pedas dan mie iblis pedas manis.. Bisa dipilih level pedasnya hingga level 10..pedasnya nagih..udang rambutannya juga enak.. Harga terjangkau untuk mahasiwa,4
4 bulan lalu,"Saya Sebagai drivee ojol sangat di sayangkan karena untuk parkir ojol d jaga tukang parkir. Orderan cuma dapat 7rb, di kasih tukang parkir 1rb-2rb sama aja kena pajak. Mohon untuk pengelola, driver ojol di bebaskan dari tukang parkir",3
setahun lalu,"Enak
Sayangnya disini ga ada minuman yang pake nama aneh
Padahal pengen minum es kopi susu nya ):",4
sebulan lalu,Utk take away home kali ya... Kalau dine in keknya mawuut 😅,5
3 bulan lalu,Sangat ramah pelayanan terhadap driver ojol.syg harus menunggu lama pesanan punya customer yang dibuat oleh resto..,4
3 minggu lalu,"Tidak pernah mengecewakan, pedesnya nampol buat mata melek",5
2 tahun lalu,"suasana cozy..... suasana nyaman demgan harga ""promo"" yang murah dan terjangkau........ namun saya rasa dengan tetangga sebelah masih enak itu..... kurang pedas menurut saya kurang berani rasa pedasnya, tapi kalau yang nggak terlalu suka pedas mungkin bisa mencoba mengingat harganya yang terjangkau",4
sebulan lalu,Pesen lewat Gofood sejam lebih cuy. Edan!. G lagi² deh pesen disini,1
setahun lalu,Lumayan dipedesnya... Cuma kayak ada yg kurang gtu,4
4 bulan lalu,"Bagi kalean yang demen sm mie ,nih kalian harus nyoba ,rasa enak mie nya juga kenyal dan yang penting bisa request pedas
Monggo langsung eksekusi mamen..",4
sebulan lalu,Antriiii sampe mamposs kelaparan 😄,4
2 tahun lalu,"Jangan tertipu dengan antrian yg panjang, karena tempat makannya sendiri lumayan luas dan tersedia banyak meja+kursi. Modelnya pesan sekalian bayar di depan (alhasil antri), tapi pelayanan cepat jadi terbayar lah. Harga sangat terjangkau, …",4
3 tahun lalu,Tempat makan spesialis mie yang berada di jalan colombo ini memiliki tempat yang strategis karena berdekatan dengan kampus ugm dan uny selain itu juga berjajar dengan indomaret point. Trmpat yang belum lama di buka ini banyak diserbu …,3
3 bulan lalu,"Pelayanan buruk, tidak ramah, antrian pesanan diserobot, pesanan take away terlewat tidak dipanggil, nunggu 1 jam.",1
2 bulan lalu,"Dah enak bgt pokoknya, sayang tempatnya sering penuh jadi harus nunggu🥲",5
5 bulan lalu,"enak, murah, porsi banyak, dominan para pelajar/mahasiswa",5
2 tahun lalu,"Pinggir jalan, rame terus, strateginya biar keliatan rame kayaknya bagian bayar kasir pas banget di pinggir jalan. Jadi terlihat seperti pada ngantri banyak banget. Tapi sebenernya di dalam juga biasanya masih banyak tersedia kursi. Eh tapi …",4
setahun lalu,"Ini apa ada kerjasama dengan Kober ya? Dari rasa mie hampir sama, cuma mie Gacoan lebih ramping. Dimsum ya juga enak. Nyummy.",4
2 bulan lalu,"Paling sering makan disini karena gampang diakses, deket sama kampus juga",5
3 tahun lalu,"Teksturnya mie pas, nggak keras tapi nggak lembek. Rasa mienya enak, ada racikan bumbu tersendiri, jadi bukan rasa pasaran. Bisa milih level juga, mulai dari level 0 (nggak pedes) sampe level 8 (pedes ngetssss). Mie angel tuh mie original, …",5
2 tahun lalu,"Tempatnya strategis di perempatan indomart point dekat GOR UNY. pelayanan lumayan..meski harus menunggu 20 menit lebih.
Harga mie dan minumannya relatif murah. Dengan 10000 sudah dapat mie. …",3
2 tahun lalu,"Ini tempat strategis banget, gampang nyarinya, makanan dan minuman yang disediakan enak dan seger banget, dengan varian level yang bisa disesuaikan dengan kemampuan masing-masing.. Pilihan menunya tidak cuma mie, tapi ada minumannya, dan …",4
